loan_amnt,term,int_rate,grade,sub_grade,emp_length,home_ownership,annual_inc,purpose,dti,delinq_2yrs,open_acc,pub_rec,revol_bal,revol_util,total_acc,actual_default,predicted_prob
2000,0,13.99,C,13,9,1,70000.0,4,8.18,0.0,7.0,0.0,6303,31.0,10.0,0,0.33206424
7200,0,13.11,B,8,2,1,35000.0,2,3.77,0.0,6.0,0.0,3526,70.5,18.0,0,0.37229905
30000,0,11.49,B,9,3,1,97000.0,2,25.0,0.0,11.0,0.0,27117,38.2,23.0,0,0.37187448
30000,0,16.2,C,13,1,1,85000.0,2,10.68,0.0,11.0,0.0,12825,62.6,45.0,0,0.46922472
8000,0,16.29,D,15,2,1,67000.0,1,18.02,0.0,13.0,0.0,24195,84.0,25.0,0,0.5111516
1000,0,14.91,D,16,11,5,11808.0,2,18.7,1.0,4.0,0.0,3547,40.8,11.0,0,0.41100955
3525,0,5.32,A,0,11,5,26000.0,2,5.22,0.0,6.0,0.0,4135,25.7,10.0,0,0.26094562
10200,1,12.49,B,9,6,1,89000.0,1,27.98,0.0,15.0,0.0,14412,70.0,41.0,1,0.48188213
7500,0,14.09,B,9,9,4,52000.0,2,23.72,0.0,12.0,1.0,7098,24.4,17.0,0,0.31399378
10000,0,19.03,D,17,4,1,65000.0,2,12.89,1.0,10.0,0.0,53740,70.4,19.0,1,0.59129256
8225,0,16.55,D,16,1,5,62000.0,9,11.15,6.0,7.0,0.0,1158,29.7,9.0,0,0.7393532
5000,0,9.17,B,6,2,5,44000.0,1,27.44,2.0,13.0,0.0,27639,99.4,15.0,0,0.53609127
20000,0,6.99,A,1,1,1,75000.0,1,11.28,0.0,11.0,0.0,37182,51.7,22.0,0,0.18685013
4000,0,12.39,C,10,1,1,39000.0,9,12.08,0.0,6.0,6.0,1316,14.6,26.0,0,0.19686559
6400,0,13.99,C,13,10,5,24000.0,2,12.4,0.0,8.0,0.0,10721,26.5,8.0,0,0.55010575
12000,1,12.85,B,8,11,5,50000.0,1,27.03,0.0,33.0,0.0,9975,29.1,63.0,0,0.66893625
25000,0,8.24,B,5,1,1,184000.0,2,17.47,0.0,15.0,0.0,50387,58.0,32.0,0,0.28823546
14400,1,6.97,A,2,1,1,52000.0,1,18.92,0.0,10.0,0.0,11335,26.5,19.0,0,0.20063658
9000,0,12.12,B,7,1,5,44000.0,2,9.95,0.0,5.0,0.0,14283,76.0,8.0,1,0.27454188
8000,0,13.49,C,11,9,4,62000.0,6,16.72,0.0,12.0,1.0,15597,59.1,23.0,0,0.58722156
6075,0,10.16,B,5,2,5,30000.0,2,23.6,0.0,9.0,0.0,8320,87.6,11.0,0,0.34952238
5800,0,6.03,A,0,1,4,100000.0,2,6.32,0.0,7.0,0.0,11920,59.6,16.0,0,0.0748777
12000,0,8.18,B,5,0,5,90000.0,1,6.87,0.0,9.0,0.0,3296,11.9,35.0,0,0.19137274
6000,0,13.35,C,11,11,4,40000.0,1,18.69,0.0,11.0,1.0,6146,34.3,20.0,0,0.52504104
10000,0,15.88,C,13,4,5,42000.0,1,24.06,2.0,12.0,1.0,7902,82.3,30.0,1,0.56228137
30000,0,7.89,A,4,10,1,130000.0,2,21.85,1.0,21.0,0.0,27617,33.2,47.0,0,0.25108102
26000,1,25.82,E,23,5,1,92000.0,2,14.17,0.0,12.0,0.0,21349,69.5,17.0,0,0.6110037
10000,1,13.18,C,12,2,5,36000.0,7,24.67,0.0,9.0,0.0,7354,19.1,18.0,0,0.688044
24000,1,12.69,B,9,5,1,120000.0,4,21.59,0.0,17.0,0.0,42996,54.5,40.0,0,0.50520134
14000,0,7.89,A,4,4,1,85000.0,2,28.66,0.0,20.0,0.0,24714,27.6,43.0,0,0.24509329
2750,0,16.55,D,16,7,5,78000.0,0,9.0,0.0,4.0,2.0,3157,52.0,6.0,0,0.3827712
5200,0,12.87,C,10,6,1,58000.0,2,10.28,0.0,12.0,0.0,2564,19.4,20.0,0,0.316993
23850,0,11.99,B,7,5,5,53000.0,2,23.32,0.0,15.0,0.0,12131,24.4,36.0,0,0.4383049
9600,0,13.99,C,13,0,5,35000.0,2,19.07,0.0,10.0,0.0,5969,25.4,13.0,1,0.59376043
20000,1,11.14,B,6,1,1,84000.0,6,8.74,0.0,6.0,0.0,7829,45.8,19.0,0,0.31356025
5000,0,13.35,C,11,6,1,40000.0,4,22.9,1.0,9.0,0.0,6855,35.2,27.0,0,0.4319811
6000,0,7.21,A,2,1,4,75000.0,2,21.19,0.0,25.0,0.0,38386,35.9,34.0,0,0.37418592
20000,1,19.48,E,21,3,1,50000.0,2,23.07,0.0,9.0,0.0,15613,87.2,13.0,1,0.77470887
12500,0,6.03,A,0,11,1,69202.0,1,5.78,0.0,12.0,0.0,12442,7.5,28.0,0,0.08607578
11400,0,6.99,A,1,1,4,76000.0,1,12.6,1.0,12.0,0.0,37471,59.5,32.0,0,0.14997622
10100,0,10.16,B,5,5,4,38000.0,2,15.68,0.0,22.0,0.0,4332,6.7,33.0,0,0.27819034
16750,1,19.52,E,22,11,5,36500.0,2,25.19,0.0,9.0,0.0,15728,49.6,15.0,1,0.8543554
5000,0,16.29,D,16,0,4,97000.0,9,17.13,0.0,11.0,0.0,33802,90.6,31.0,0,0.4612308
2000,0,19.99,D,18,0,5,45000.0,8,8.32,1.0,16.0,0.0,6959,56.6,20.0,0,0.62764865
23100,1,16.99,D,15,1,4,70000.0,2,13.64,0.0,14.0,0.0,15880,59.7,21.0,1,0.62733763
14400,1,19.22,D,18,2,5,138000.0,7,28.82,0.0,35.0,0.0,41529,87.2,63.0,0,0.79075146
10000,1,18.55,D,16,9,5,73000.0,2,17.93,2.0,13.0,0.0,13852,42.1,24.0,0,0.68010795
4925,0,16.29,D,16,6,5,40000.0,9,15.27,0.0,11.0,0.0,7936,48.1,13.0,1,0.6239613
2000,0,22.2,E,23,8,1,55000.0,4,18.07,4.0,12.0,0.0,310,3.0,35.0,1,0.52830535
9250,0,19.05,D,18,1,1,87595.0,9,17.49,0.0,10.0,0.0,6346,59.3,20.0,0,0.5389371
8000,0,9.17,B,6,10,4,114500.0,4,17.53,3.0,11.0,0.0,276,34.5,13.0,1,0.4826894
10000,0,15.61,D,15,11,5,28000.0,2,27.26,0.0,13.0,0.0,12030,36.9,14.0,1,0.7145985
15600,1,13.99,C,13,0,1,42000.0,2,28.69,0.0,8.0,1.0,11297,86.2,12.0,0,0.7497162
16000,1,18.55,D,18,6,5,55000.0,2,9.51,0.0,11.0,0.0,17656,61.9,28.0,1,0.7006112
25000,0,7.69,A,3,8,1,65000.0,2,28.1,0.0,16.0,0.0,16680,47.9,29.0,1,0.21949732
6300,0,12.69,C,11,11,5,78990.0,1,10.71,0.0,9.0,0.0,35339,74.4,16.0,0,0.44537255
18000,0,14.33,C,10,6,1,70000.0,2,16.75,0.0,21.0,0.0,20618,51.4,36.0,1,0.33092648
22000,0,11.67,B,8,3,1,110000.0,1,13.41,2.0,17.0,0.0,18833,52.8,29.0,0,0.3078468
8000,0,10.42,B,7,1,1,45000.0,2,26.59,0.0,18.0,0.0,6717,18.2,33.0,1,0.3502651
12475,0,16.29,C,13,3,1,37500.0,2,31.36,0.0,13.0,0.0,22018,90.2,24.0,0,0.50853884
18000,0,16.02,C,14,11,1,16343.28,2,62.45,0.0,16.0,0.0,21238,38.8,28.0,0,0.59019893
4525,0,17.86,D,19,11,5,21000.0,2,6.97,0.0,5.0,0.0,10120,88.0,10.0,0,0.6601536
11550,1,28.72,F,25,3,1,46000.0,2,95.56,0.0,24.0,0.0,48432,66.9,36.0,0,0.8028461
17000,0,13.99,C,12,10,5,49055.0,1,15.73,0.0,18.0,0.0,31241,38.0,37.0,0,0.59899664
